trial_id,status,duration_s,cfg_heads,cfg_layers,cfg_model,cfg_pattern,cfg_prune_fraction,cfg_seq_len,metric_attention_mass_retained,metric_heads_pruned,metric_heads_remaining,metric_importance_max,metric_importance_mean,metric_importance_min,metric_importance_std,metric_kl_divergence,metric_prune_fraction,metric_quality_score
attention_head_importance_t0001,completed,0.0001,12,12,small,realistic,0.0,128,1.0,0,144,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,,0.0,1.0
attention_head_importance_t0002,completed,0.0150,12,12,small,realistic,0.05,128,0.04861111111111111,137,7,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,16.738964080810547,0.05,0.23233574628829956
attention_head_importance_t0003,completed,0.0090,12,12,small,realistic,0.1,128,0.09722222222222222,130,14,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,15.107824325561523,0.1,0.26827821135520935
attention_head_importance_t0004,completed,0.0104,12,12,small,realistic,0.15,128,0.14583333333333334,123,21,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,8.125688552856445,0.15,0.37940269708633423
attention_head_importance_t0005,completed,0.0101,12,12,small,realistic,0.2,128,0.19444444444444445,116,28,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,4.511189937591553,0.2,0.4241851270198822
attention_head_importance_t0006,completed,0.0106,12,12,small,realistic,0.25,128,0.25,108,36,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.25,0.46467146277427673
attention_head_importance_t0007,completed,0.0097,12,12,small,realistic,0.3,128,0.2986111111111111,101,43,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.3,0.46467146277427673
attention_head_importance_t0008,completed,0.0107,12,12,small,realistic,0.35,128,0.3472222222222222,94,50,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.35,0.4646714925765991
attention_head_importance_t0009,completed,0.0105,12,12,small,realistic,0.4,128,0.3958333333333333,87,57,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.4,0.4646714925765991
attention_head_importance_t0010,completed,0.0094,12,12,small,realistic,0.5,128,0.5,72,72,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.5,0.4646714925765991
attention_head_importance_t0011,completed,0.0101,12,12,small,realistic,0.6,128,0.5972222222222222,58,86,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.6,0.4646714925765991
attention_head_importance_t0012,completed,0.0091,12,12,small,realistic,0.7,128,0.6944444444444444,44,100,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.7,0.46467146277427673
attention_head_importance_t0013,completed,0.0086,12,12,small,realistic,0.8,128,0.7986111111111112,29,115,0.7005383968353271,0.5610911846160889,0.48013150691986084,0.0702749565243721,0.8558699488639832,0.8,0.46467146277427673
attention_head_importance_t0014,completed,0.0001,16,24,medium,realistic,0.0,128,1.0,0,384,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,,0.0,1.0
attention_head_importance_t0015,completed,0.0327,16,24,medium,realistic,0.05,128,0.049479166666666664,365,19,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,15.934892654418945,0.05,0.2507226765155792
attention_head_importance_t0016,completed,0.0330,16,24,medium,realistic,0.1,128,0.0989583432674408,346,38,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,15.109015464782715,0.1,0.26803383231163025
attention_head_importance_t0017,completed,0.0281,16,24,medium,realistic,0.15,128,0.1484375,327,57,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,9.9121675491333,0.15,0.35457539558410645
attention_head_importance_t0018,completed,0.0288,16,24,medium,realistic,0.2,128,0.19791666666666666,308,76,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,1.773910403251648,0.2,0.45447343587875366
attention_head_importance_t0019,completed,0.0278,16,24,medium,realistic,0.25,128,0.25,288,96,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570594787597656,0.25,0.4642481803894043
attention_head_importance_t0020,completed,0.0263,16,24,medium,realistic,0.3,128,0.2994791666666667,269,115,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570594191551208,0.3,0.4642481803894043
attention_head_importance_t0021,completed,0.0268,16,24,medium,realistic,0.35,128,0.3489583333333333,250,134,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570594787597656,0.35,0.4642481803894043
attention_head_importance_t0022,completed,0.0274,16,24,medium,realistic,0.4,128,0.3984375,231,153,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570594787597656,0.4,0.4642481803894043
attention_head_importance_t0023,completed,0.0250,16,24,medium,realistic,0.5,128,0.5,192,192,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570593595504761,0.5,0.4642481803894043
attention_head_importance_t0024,completed,0.0249,16,24,medium,realistic,0.6,128,0.5989583333333334,154,230,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570592999458313,0.6,0.4642481803894043
attention_head_importance_t0025,completed,0.0258,16,24,medium,realistic,0.7,128,0.6979166666666666,116,268,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570592999458313,0.7,0.4642481803894043
attention_head_importance_t0026,completed,0.0238,16,24,medium,realistic,0.8,128,0.7994791666666666,77,307,0.7156124711036682,0.5681306719779968,0.4755297005176544,0.07257778942584991,0.8570592999458313,0.8,0.4642481803894043
attention_head_importance_t0027,completed,0.0001,32,32,large,realistic,0.0,128,1.0,0,1024,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,,0.0,1.0
attention_head_importance_t0028,completed,0.0858,32,32,large,realistic,0.05,128,0.0498046875,973,51,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,15.476937294006348,0.05,0.2662320137023926
attention_head_importance_t0029,completed,0.0819,32,32,large,realistic,0.1,128,0.099609375,922,102,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,15.476937294006348,0.1,0.2662320137023926
attention_head_importance_t0030,completed,0.0814,32,32,large,realistic,0.15,128,0.1494140625,871,153,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,4.919525146484375,0.15,0.42928624153137207
attention_head_importance_t0031,completed,0.0781,32,32,large,realistic,0.2,128,0.19921875,820,204,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,1.497626543045044,0.2,0.4687498211860657
attention_head_importance_t0032,completed,0.0789,32,32,large,realistic,0.25,128,0.25,768,256,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.25,0.4762503504753113
attention_head_importance_t0033,completed,0.0776,32,32,large,realistic,0.3,128,0.2998046875,717,307,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.3,0.4762503504753113
attention_head_importance_t0034,completed,0.0776,32,32,large,realistic,0.35,128,0.349609375,666,358,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.35,0.4762503504753113
attention_head_importance_t0035,completed,0.0789,32,32,large,realistic,0.4,128,0.3994140625,615,409,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.4,0.4762503504753113
attention_head_importance_t0036,completed,0.0789,32,32,large,realistic,0.5,128,0.5,512,512,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.5,0.4762503504753113
attention_head_importance_t0037,completed,0.0758,32,32,large,realistic,0.6,128,0.599609375,410,614,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.6,0.4762503504753113
attention_head_importance_t0038,completed,0.0778,32,32,large,realistic,0.7,128,0.69921875,308,716,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.7,0.4762503504753113
attention_head_importance_t0039,completed,0.0753,32,32,large,realistic,0.8,128,0.7998046875,205,819,0.7135835289955139,0.5610942840576172,0.47137579321861267,0.07114336639642715,0.8098173141479492,0.8,0.4762503504753113
